Names,Low,High,TradingView,Hyper_link_Traiding_view,Grow Url,Hyper_link_Grow,scraper_links
Kotak Nifty PSU Bank ETF,290,541,,,,,https://economictimes.indiatimes.com/kotak-nifty-psu-bank-etf/mffactsheet/schemeid-6157.cms?from=mdr
Kotak Nifty 50 Value 20 ETF-IDCW,93,119,,,,,https://economictimes.indiatimes.com/kotak-nifty-50-value-20-etf/mffactsheet/schemeid-31271.cms?from=mdr
LIC Nomura MF ETF - Nifty 100,178,218,,,,,https://economictimes.indiatimes.com/lic-mf-nifty-100-etf/mffactsheet/schemeid-32018.cms?from=mdr
LIC Nomura MF ETF - NIFTY 50 - Growth Plan,181,224,,,,,https://economictimes.indiatimes.com/lic-mf-nifty-50-index-plan/mffactsheet/schemeid-1478.cms?from=mdr
LIC Nomura MF ETF - SENSEX,612,800,,,,,https://economictimes.indiatimes.com/lic-mf-sp-bse-sensex-etf-sensex/mffactsheet/schemeid-31256.cms?from=mdr
Motilal Oswal Nifty Midcap 100 ETF-Growth,30,44,,,,,https://economictimes.indiatimes.com/motilal-oswal-nifty-midcap-100-etf/mffactsheet/schemeid-12012.cms?from=mdr
Nippon India ETF Nifty 50 Shariah BeES,380,458,,,,,https://economictimes.indiatimes.com/nippon-india-etf-nifty-50-shariah-bees/mffactsheet/schemeid-10218.cms?from=mdr
Nippon India ETF Nifty Bank BeES,385,471,,,,,https://m.economictimes.com/nippon-india-etf-nifty-bank-bees/mffactsheet/schemeid-2255.cms
Nippon India ETF Nifty Infrastructure BeES,509,658,,,,,https://economictimes.indiatimes.com/nippon-india-etf-nifty-infrastructure-bees/mffactsheet/schemeid-11650.cms?from=mdr
Quantum Nifty 50 ETF,1773.8,2300.22,,,,,https://m.economictimes.com/quantum-nifty-50-etf-fof-regular-plan/mffactsheet/schemeid-42345.cms
SBI - ETF Quality,142,178,,,,,https://m.economictimes.com/sbi-nifty-200-quality-30-etf/mffactsheet/schemeid-38348.cms
SBI ETF Consumption,70,80,,,,,https://m.economictimes.com/sbi-nifty-consumption-etf/mffactsheet/schemeid-41572.cms
SBI ETF IT,276,353,,,,,https://m.economictimes.com/sbi-nifty-it-etf/mffactsheet/schemeid-41150.cms
SBI ETF Nifty 50,166,216,,,,,https://economictimes.indiatimes.com/sbi-nifty-bank-etf/mffactsheet/schemeid-29709.cms?from=mdr
SBI ETF Nifty Bank,381,471,,,,,https://economictimes.indiatimes.com/sbi-nifty-bank-etf/mffactsheet/schemeid-29709.cms?from=mdr
SBI ETF PRIVATE BANK,196,242,,,,,https://m.economictimes.com/sbi-nifty-private-bank-etf/mffactsheet/schemeid-41149.cms
SBI Nifty Next 50,10,490,,,,,https://m.economictimes.com/sbi-nifty-next-50-index-fund-regular-plan/mffactsheet/schemeid-41490.cms
Tata Nifty ETF,171,218,,,,,https://m.economictimes.com/tata-nifty-50-exchange-traded-fund/mffactsheet/schemeid-38578.cms
Tata Nifty Private Bank ETF,198,248,,,,,https://m.economictimes.com/tata-nifty-private-bank-etf/mfinvestment/schemeid-40257.cms
UTI Nifty 50 ETF,146,216,,,,,https://m.economictimes.com/uti-nifty-50-etf/mffactsheet/schemeid-30886.cms
UTI Nifty Bank ETF,37,49,,,,,https://m.economictimes.com/uti-nifty-bank-etf/mffactsheet/schemeid-41106.cms
UTI Nifty Next 50 ETF,38,49,,,,,https://m.economictimes.com/uti-nifty-next-50-exchange-traded-fund/mffactsheet/schemeid-34503.cms
UTI S&P BSE Sensex ETF,526.7,811,,,,,https://m.economictimes.com/uti-sp-bse-sensex-etf/mffactsheet/schemeid-30885.cms
UTI S&P BSE Sensex Next 50 ETF,40,62,,,,,https://m.economictimes.com/uti-sp-bse-sensex-next-50-etf/mffactsheet/schemeid-39221.cms
